budget,popularity,revenue,runtime,title,avg_rating,ratings,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_year,director,actor_1,actor_2,actor_3,success,director_success_rate,actor_1_success_rate,actor_2_success_rate,actor_3_success_rate
237000000,150.437577,2787965087,162.0,Avatar,7.2,11800,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2009,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,1,0.8571428571428571,0.75,0.625,0.3333333333333333
300000000,139.082615,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,1,0.7142857142857143,0.6923076923076923,1.0,0.6666666666666666
245000000,107.376788,880674609,148.0,Spectre,6.3,4466,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,1,0.7142857142857143,0.75,1.0,1.0
250000000,112.31295,1084939099,165.0,The Dark Knight Rises,7.6,9106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,Christopher Nolan,Christian Bale,Michael Caine,Gary Oldman,1,1.0,0.6875,0.4,0.75
260000000,43.926995,284139100,132.0,John Carter,6.1,2124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,Andrew Stanton,Taylor Kitsch,Lynn Collins,Samantha Morton,0,0.75,0.0,0.0,0.3333333333333333
258000000,115.699814,890871626,139.0,Spider-Man 3,5.9,3576,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,1,0.875,0.8,0.5,1.0
260000000,48.681969,591794936,100.0,Tangled,7.4,3330,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010,Byron Howard,Zachary Levi,Mandy Moore,Donna Murphy,1,1.0,1.0,1.0,1.0
280000000,134.279229,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,1,0.6666666666666666,0.8181818181818182,0.75,0.5
250000000,98.885637,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2009,David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson,1,1.0,1.0,1.0,0.875
250000000,155.790452,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,1,0.7142857142857143,0.75,1.0,1.0
270000000,57.925623,391081192,154.0,Superman Returns,5.4,1400,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2006,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,0,0.75,0.0,0.3333333333333333,0.2
200000000,107.928811,586090727,106.0,Quantum of Solace,6.1,2965,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2008,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,1,0.8571428571428571,0.75,0.3333333333333333,1.0
200000000,145.847379,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,1,0.7142857142857143,0.6923076923076923,1.0,0.6666666666666666
255000000,49.046956,89289910,149.0,The Lone Ranger,5.9,2311,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner,0,0.7142857142857143,0.6923076923076923,0.3333333333333333,0.3333333333333333
225000000,99.398009,662845518,143.0,Man of Steel,6.5,6359,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,1,0.7142857142857143,0.3333333333333333,1.0,0.6666666666666666
225000000,53.978602,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2008,Andrew Adamson,Ben Barnes,William Moseley,Anna Popplewell,1,1.0,1.0,1.0,1.0
220000000,144.448633,1519557910,143.0,The Avengers,7.4,11776,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,1,0.6666666666666666,0.8181818181818182,1.0,0.5
380000000,135.413856,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,Rob Marshall,Johnny Depp,Penélope Cruz,Ian McShane,1,0.8,0.6923076923076923,0.6666666666666666,0.6666666666666666
